epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,679.823,0.43119,0.36197,0.85439,0.96011,0.93063,0.94907,0.88946,0.35187,0.31881,0.8184,0.000742625,0.000742625,0.000742625
43,696.723,0.41559,0.36403,0.84947,0.94618,0.93923,0.92141,0.87085,0.34017,0.30671,0.81972,0.00073025,0.00073025,0.00073025
44,714.328,0.41869,0.36862,0.849,0.96618,0.93799,0.9541,0.89777,0.33122,0.29385,0.81687,0.000717875,0.000717875,0.000717875
45,729.409,0.41409,0.35129,0.85177,0.97288,0.93219,0.94404,0.8928,0.33155,0.29345,0.81695,0.0007055,0.0007055,0.0007055
46,746.099,0.42223,0.34785,0.85661,0.91245,0.95773,0.94374,0.89934,0.32687,0.29474,0.8108,0.000693125,0.000693125,0.000693125
47,762.663,0.41449,0.34767,0.8455,0.94009,0.92742,0.93986,0.89454,0.32386,0.30163,0.81321,0.00068075,0.00068075,0.00068075
48,782.457,0.39992,0.33377,0.8513,0.97825,0.95277,0.95906,0.91131,0.33345,0.29024,0.81672,0.000668375,0.000668375,0.000668375
49,807.682,0.41418,0.3403,0.84733,0.96917,0.94166,0.95637,0.91652,0.31296,0.28639,0.80667,0.000656,0.000656,0.000656
50,827.74,0.39773,0.32385,0.84528,0.96021,0.9469,0.95756,0.90721,0.32788,0.28001,0.81248,0.000643625,0.000643625,0.000643625
51,848.4,0.40453,0.32482,0.84366,0.98841,0.94897,0.96383,0.91609,0.32188,0.28229,0.80602,0.00063125,0.00063125,0.00063125
52,868.617,0.39872,0.32422,0.84827,0.94909,0.9588,0.96139,0.90695,0.31327,0.27609,0.80981,0.000618875,0.000618875,0.000618875
53,888.801,0.40217,0.32219,0.84505,0.97305,0.94296,0.95843,0.90527,0.30497,0.26752,0.80986,0.0006065,0.0006065,0.0006065
54,907.393,0.38836,0.31376,0.84501,0.99149,0.94387,0.96227,0.9091,0.31054,0.26085,0.81394,0.000594125,0.000594125,0.000594125
55,927.639,0.38767,0.31651,0.84292,0.99321,0.93296,0.95608,0.90372,0.29827,0.26841,0.80794,0.00058175,0.00058175,0.00058175
56,947.266,0.39811,0.31942,0.8426,0.98714,0.9346,0.9581,0.90767,0.30716,0.26097,0.81108,0.000569375,0.000569375,0.000569375
